X,Y,Z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,2.0
0,0,2.0
0.1,20.0,0.3
0.1,20.0,0.3
0.1,200.0,0.3
0.1,200.0,0.3
0.4,200.0,0.3
0.4,200.0,0.3
0.4,20.0,0.3
0.4,20.0,0.3
0.4,20.0,0.3
0.4,20.0,0.3
0.4,20.0,2.0
0.4,20.0,2.0
5.0,20.0,0.3
5.0,20.0,0.3
5.0,20.0,0.3
5.0,20.0,0.3
5.0,20.0,0.3
5.0,20.0,0.3
5.0,20.0,0.3
5.0,20.0,0.3
5.0,20.0,0.3
5.0,20.0,0.3
84.502,104.419,0.2
84.502,104.419,0.2
84.502,104.419,0.2
84.502,104.419,0.2
85.232,103.831,0.2
85.232,103.831,0.2
86.01,103.306,0.2
86.01,103.306,0.2
86.829,102.85,0.2
86.829,102.85,0.2
87.685,102.465,0.2
87.685,102.465,0.2
88.701,102.116,0.2
88.701,102.116,0.2
89.218,101.966,0.2
89.218,101.966,0.2
90.129,101.743,0.2
90.129,101.743,0.2
91.056,101.599,0.2
91.056,101.599,0.2
92.082,101.532,0.2
92.082,101.532,0.2
93.214,101.513,0.2
93.214,101.513,0.2
142.152,101.514,0.2
142.152,101.514,0.2
142.833,101.524,0.2
142.833,101.524,0.2
143.769,101.578,0.2
143.769,101.578,0.2
144.697,101.711,0.2
144.697,101.711,0.2
145.382,101.862,0.2
145.382,101.862,0.2
145.905,101.995,0.2
145.905,101.995,0.2
146.803,102.265,0.2
146.803,102.265,0.2
147.675,102.61,0.2
147.675,102.61,0.2
148.515,103.028,0.2
148.515,103.028,0.2
149.316,103.517,0.2
149.316,103.517,0.2
150.072,104.071,0.2
150.072,104.071,0.2
150.806,104.715,0.2
150.806,104.715,0.2
151.192,105.085,0.2
151.192,105.085,0.2
151.841,105.762,0.2
151.841,105.762,0.2
152.429,106.492,0.2
152.429,106.492,0.2
152.954,107.27,0.2
152.954,107.27,0.2
153.41,108.089,0.2
153.41,108.089,0.2
153.795,108.945,0.2
